field,lat,lon
1,46.66858,-116.78112
2,46.68708,-116.89173
3,46.75827,-117.07917
4,46.76116,-117.17137
5,46.87543,-117.45041
6,46.76965,-117.59867
7,46.71985,-117.79822
8,46.7086,-117.80332
9,46.85548,-117.82304
